Sample	imputed	true	ext_dosage	GWAS_SNP_dosage
Fake_sample_97	2/10	2/10	0.04	1.0
Fake_sample_98	2/8	2/8	0.0	1.0
Fake_sample_99	2/2	2/2	0.0	0.0
Fake_sample_100	2/2	2/2	0.0	0.0
Fake_sample_101	2/7	2/7	0.0	1.0
Fake_sample_102	2/5	2/5	0.0	0.0
Fake_sample_103	2/2	2/2	0.0	0.0
Fake_sample_104	8/30	8/11	0.49	2.0
Fake_sample_105	8/30	8/495	0.56	2.0
Fake_sample_106	2/10	2/10	0.0	1.0
Fake_sample_107	8/10	8/16	0.1	2.0
Fake_sample_108	2/5	2/5	0.0	0.0
Fake_sample_109	2/5	2/5	0.0	0.0
Fake_sample_110	11/13	8/12	0.01	2.0
Fake_sample_111	2/5	2/5	0.0	0.0
Fake_sample_112	2/30	2/370	1.0	1.0
Fake_sample_113	10/30	13/404	0.44	2.0
Fake_sample_114	2/2	2/2	0.0	0.0
Fake_sample_115	11/30	6/15	0.27	2.0
Fake_sample_116	5/8	5/8	0.03	1.0
Fake_sample_117	5/6	5/6	0.0	0.0
Fake_sample_118	2/5	2/5	0.0	0.0
Fake_sample_119	8/11	8/8	0.08	2.0
Fake_sample_120	2/6	2/6	0.0	0.0
Fake_sample_121	2/8	2/13	0.0	1.0
Fake_sample_122	2/30	2/357	1.0	1.0
Fake_sample_123	2/2	2/2	0.0	0.0
Fake_sample_124	2/2	2/2	0.0	0.0
Fake_sample_125	5/7	5/7	0.0	1.0
Fake_sample_126	2/2	2/2	0.0	0.0
Fake_sample_127	2/2	2/2	0.0	0.0
Fake_sample_128	2/8	2/8	0.0	1.0
Fake_sample_129	6/8	6/8	0.0	1.0
Fake_sample_130	2/8	2/9	0.0	1.0
Fake_sample_131	2/2	2/2	0.0	0.0
Fake_sample_132	2/2	2/2	0.0	0.0
Fake_sample_133	5/30	5/528	0.45	1.0
Fake_sample_134	2/8	2/8	0.0	1.0
Fake_sample_135	2/5	2/5	0.0	0.0
Fake_sample_136	2/8	2/8	0.0	1.0
Fake_sample_137	2/2	2/2	0.0	0.0
Fake_sample_138	2/2	2/2	0.0	0.0
Fake_sample_139	2/2	2/2	0.0	0.0
Fake_sample_140	2/2	2/2	0.0	0.0
Fake_sample_141	2/8	2/8	0.0	1.0
Fake_sample_142	2/5	2/5	0.0	0.0
Fake_sample_143	2/30	2/301	1.0	1.0
Fake_sample_144	5/7	5/7	0.0	0.0
Fake_sample_145	2/8	2/8	0.0	1.0
Fake_sample_146	5/8	5/9	0.0	1.0
Fake_sample_147	5/6	5/6	0.0	0.0
Fake_sample_148	5/25	2/5	0.0	0.0
Fake_sample_149	2/8	2/5	0.02	1.0
Fake_sample_150	2/5	2/5	0.0	0.0
Fake_sample_151	2/5	2/5	0.0	0.0
Fake_sample_152	2/2	2/2	0.0	0.0
Fake_sample_153	2/8	2/8	0.0	1.0
Fake_sample_154	2/10	2/10	0.0	1.0
Fake_sample_155	2/5	2/5	0.0	0.0
Fake_sample_156	2/5	2/5	0.0	0.0
Fake_sample_157	2/30	2/240	0.93	1.0
Fake_sample_158	2/30	2/370	0.87	1.0
Fake_sample_159	2/2	2/2	0.0	0.0
Fake_sample_160	2/30	2/223	1.0	1.0
Fake_sample_161	2/5	2/5	0.0	0.0
Fake_sample_162	2/2	2/2	0.0	0.0
Fake_sample_163	2/6	2/6	0.0	0.0
Fake_sample_164	5/6	5/6	0.0	0.0
Fake_sample_165	2/2	2/2	0.0	0.0
Fake_sample_166	2/2	2/2	0.0	0.0
Fake_sample_167	7/8	8/308	0.0	2.0
Fake_sample_168	2/5	2/5	0.0	0.0
Fake_sample_169	2/30	2/395	1.0	1.0
Fake_sample_170	2/2	2/2	0.0	0.0
Fake_sample_171	2/4	2/5	0.0	0.0
Fake_sample_172	2/2	2/2	0.0	0.0
Fake_sample_173	2/5	2/5	0.0	0.0
Fake_sample_174	8/30	8/400	0.97	2.0
Fake_sample_175	2/5	2/5	0.0	0.0
Fake_sample_176	2/2	2/2	0.0	0.0
Fake_sample_177	5/16	5/10	0.0	1.0
Fake_sample_178	2/5	2/5	0.0	0.0
Fake_sample_179	2/6	2/6	0.0	0.0
Fake_sample_180	2/2	2/2	0.0	0.0
Fake_sample_181	5/5	5/5	0.0	0.0
Fake_sample_182	5/6	5/6	0.0	1.0
Fake_sample_183	2/12	2/14	0.3	1.0
Fake_sample_184	2/6	2/6	0.0	0.0
Fake_sample_185	2/5	2/5	0.0	0.0
Fake_sample_186	2/16	2/8	0.0	1.0
Fake_sample_187	2/2	2/2	0.0	0.0
Fake_sample_188	2/2	2/2	0.0	0.0
Fake_sample_189	2/8	2/8	0.0	1.0
Fake_sample_190	2/2	2/2	0.0	0.0
Fake_sample_191	6/25	6/13	0.0	1.0
Fake_sample_192	2/8	2/9	0.0	1.0
Fake_sample_193	5/7	5/7	0.0	0.0
Fake_sample_194	2/5	2/5	0.0	0.0
Fake_sample_195	2/6	2/6	0.0	0.0
Fake_sample_196	5/5	5/5	0.0	0.0
Fake_sample_197	5/5	5/5	0.0	0.0
Fake_sample_198	2/5	2/5	0.0	0.0
Fake_sample_199	5/5	5/5	0.0	0.0
Fake_sample_200	2/5	2/5	0.0	0.0
Fake_sample_201	8/10	8/10	0.0	2.0
Fake_sample_202	6/8	6/11	0.0	1.0
Fake_sample_203	2/8	2/8	0.0	1.0
Fake_sample_204	2/8	2/8	0.0	1.0
Fake_sample_205	2/2	2/2	0.0	0.0
Fake_sample_206	5/11	5/13	0.0	1.0
Fake_sample_207	2/2	2/2	0.0	0.0
Fake_sample_208	2/12	2/10	0.03	1.0
Fake_sample_209	2/2	2/2	0.0	0.0
Fake_sample_210	6/8	6/8	0.0	1.0
Fake_sample_211	2/5	2/5	0.0	0.0
Fake_sample_212	2/10	2/12	0.01	1.0
Fake_sample_213	8/12	8/15	0.0	2.0
Fake_sample_214	2/7	2/7	0.0	1.0
Fake_sample_215	5/8	5/8	0.0	1.0
Fake_sample_216	2/30	2/249	1.0	1.0
Fake_sample_217	2/15	2/16	0.18	1.0
Fake_sample_218	2/5	2/5	0.0	0.0
Fake_sample_219	2/8	2/8	0.0	1.0
Fake_sample_220	2/2	2/2	0.0	0.0
Fake_sample_221	2/5	2/5	0.0	0.0
Fake_sample_222	2/5	2/5	0.0	0.0
Fake_sample_223	2/13	2/12	0.0	1.0
Fake_sample_224	2/30	2/263	0.7	1.0
Fake_sample_225	5/6	5/6	0.0	0.0
Fake_sample_226	5/6	5/6	0.0	0.0
Fake_sample_227	2/11	2/12	0.18	1.0
Fake_sample_228	2/10	2/12	0.0	1.0
Fake_sample_229	5/8	5/8	0.0	1.0
Fake_sample_230	2/30	2/446	1.0	1.0
Fake_sample_231	2/2	2/2	0.0	0.0
Fake_sample_232	10/30	10/397	0.8	2.0
Fake_sample_233	2/9	2/9	0.0	1.0
Fake_sample_234	2/8	2/12	0.0	1.0
Fake_sample_235	12/30	12/19	1.32	2.0
Fake_sample_236	5/5	5/5	0.0	0.0
Fake_sample_237	2/8	2/8	0.0	1.0
Fake_sample_238	5/6	5/6	0.0	0.0
Fake_sample_239	2/6	2/6	0.0	0.0
Fake_sample_240	2/5	2/5	0.0	0.0
Fake_sample_241	5/7	5/14	0.0	1.0
Fake_sample_242	5/10	5/10	0.0	1.0
Fake_sample_243	2/2	2/2	0.0	0.0
Fake_sample_244	5/6	5/6	0.0	0.0
Fake_sample_245	5/11	5/8	0.0	1.0
Fake_sample_246	2/5	2/5	0.0	0.0
Fake_sample_247	2/20	2/400	0.0	1.0
Fake_sample_248	2/2	2/2	0.0	0.0
Fake_sample_249	2/2	2/2	0.0	0.0
Fake_sample_250	2/30	2/336	1.0	1.0
Fake_sample_251	5/30	5/225	1.0	1.0
Fake_sample_252	2/10	2/17	0.28	1.0
Fake_sample_253	2/2	2/2	0.0	0.0
Fake_sample_254	2/2	2/2	0.0	0.0
Fake_sample_255	2/2	2/2	0.0	0.0
Fake_sample_256	8/30	8/486	0.88	2.0
Fake_sample_257	8/20	8/369	0.0	2.0
Fake_sample_258	2/30	2/211	1.0	1.0
Fake_sample_259	2/2	2/2	0.0	0.0
Fake_sample_260	2/3	2/5	0.0	0.0
Fake_sample_261	8/30	8/266	0.98	2.0
Fake_sample_262	2/8	2/8	0.0	1.0
Fake_sample_263	2/2	2/2	0.0	0.0
Fake_sample_264	2/5	2/5	0.0	0.0
Fake_sample_265	2/2	2/2	0.0	0.0
Fake_sample_266	2/8	2/11	0.0	1.0
Fake_sample_267	2/30	2/535	0.99	1.0
Fake_sample_268	5/15	5/11	0.02	1.0
Fake_sample_269	8/30	8/372	1.0	2.0
Fake_sample_270	2/2	2/2	0.0	0.0
Fake_sample_271	2/7	2/7	0.0	1.0
Fake_sample_272	2/9	2/11	0.0	1.0
Fake_sample_273	2/2	2/2	0.0	0.0
Fake_sample_274	2/2	2/2	0.0	0.0
Fake_sample_275	2/2	2/2	0.0	0.0
Fake_sample_276	8/14	8/15	0.0	2.0
Fake_sample_277	5/5	5/5	0.0	0.0
Fake_sample_278	2/5	2/5	0.0	1.0
Fake_sample_279	2/2	2/2	0.0	0.0
Fake_sample_280	2/7	2/7	0.0	1.0
Fake_sample_281	2/7	2/7	0.0	0.0
Fake_sample_282	2/5	2/5	0.0	0.0
Fake_sample_283	5/5	5/5	0.0	0.0
Fake_sample_284	2/9	2/9	0.0	1.0
Fake_sample_285	2/8	2/8	0.0	1.0
Fake_sample_286	8/8	8/8	0.0	2.0
Fake_sample_287	2/5	2/5	0.0	0.0
Fake_sample_288	2/5	2/5	0.0	0.0
Fake_sample_289	2/11	2/11	0.0	1.0
Fake_sample_290	5/8	5/8	0.0	1.0
Fake_sample_291	2/2	2/2	0.0	0.0
Fake_sample_292	2/8	2/8	0.0	1.0
Fake_sample_293	8/10	8/10	0.02	2.0
Fake_sample_294	5/12	5/274	0.0	1.0
Fake_sample_295	2/11	2/8	0.0	1.0
Fake_sample_296	2/30	2/429	1.0	1.0
Fake_sample_297	2/8	2/8	0.0	1.0
Fake_sample_298	2/4	2/4	0.0	0.0
Fake_sample_299	2/5	2/5	0.0	0.0
Fake_sample_300	2/8	2/8	0.0	1.0
Fake_sample_301	2/14	2/13	0.0	1.0
Fake_sample_302	2/2	2/2	0.0	0.0
Fake_sample_303	8/8	8/8	0.0	2.0
Fake_sample_304	5/8	5/8	0.0	1.0
Fake_sample_305	2/30	2/288	0.56	1.0
Fake_sample_306	2/5	2/5	0.0	0.0
Fake_sample_307	2/2	2/2	0.0	0.0
Fake_sample_308	2/8	2/8	0.0	1.0
Fake_sample_309	2/2	2/2	0.0	0.0
Fake_sample_310	13/30	12/285	1.13	2.0
Fake_sample_311	2/30	2/372	1.0	1.0
Fake_sample_312	5/13	5/18	0.0	1.0
Fake_sample_313	2/2	2/2	0.0	0.0
Fake_sample_314	2/7	2/400	0.0	1.0
Fake_sample_315	2/2	2/2	0.0	0.0
Fake_sample_316	2/30	2/338	1.0	1.0
Fake_sample_317	2/2	2/2	0.0	0.0
Fake_sample_318	2/5	2/5	0.0	0.0
Fake_sample_319	2/6	2/6	0.0	0.0
Fake_sample_320	7/8	7/8	0.0	2.0
Fake_sample_321	2/5	2/5	0.0	1.0
Fake_sample_322	5/8	5/8	0.0	1.0
Fake_sample_323	2/30	2/703	1.0	1.0
Fake_sample_324	2/30	2/816	0.79	1.0
Fake_sample_325	8/30	8/592	1.0	2.0
Fake_sample_326	2/8	2/8	0.0	1.0
Fake_sample_327	2/2	2/2	0.0	0.0
Fake_sample_328	2/2	2/2	0.0	0.0
Fake_sample_329	2/5	2/5	0.0	0.0
Fake_sample_330	5/11	5/11	0.12	1.0
Fake_sample_331	4/10	10/12	0.0	2.0
Fake_sample_332	2/5	2/5	0.0	0.0
Fake_sample_333	2/8	2/8	0.0	1.0
Fake_sample_334	5/30	5/379	0.99	1.0
Fake_sample_335	8/30	8/429	1.0	2.0
Fake_sample_336	2/5	2/5	0.0	0.0
Fake_sample_337	2/10	2/15	0.39	1.0
Fake_sample_338	2/30	2/373	0.97	1.0
Fake_sample_339	2/30	2/390	1.0	1.0
Fake_sample_340	2/2	2/2	0.0	0.0
Fake_sample_341	2/11	2/530	0.0	1.0
Fake_sample_342	2/2	2/2	0.0	0.0
Fake_sample_343	5/7	5/7	0.0	1.0
Fake_sample_344	2/5	2/5	0.0	0.0
Fake_sample_345	2/2	2/2	0.0	0.0
Fake_sample_346	2/7	2/7	0.0	1.0
Fake_sample_347	2/2	2/2	0.0	0.0
Fake_sample_348	2/9	2/8	0.0	1.0
Fake_sample_349	2/4	2/4	0.0	0.0
Fake_sample_350	9/30	8/294	0.99	2.0
Fake_sample_351	2/2	2/2	0.0	0.0
Fake_sample_352	8/8	8/8	0.0	2.0
Fake_sample_353	2/8	2/8	0.0	1.0
Fake_sample_354	2/15	2/166	0.0	1.0
Fake_sample_355	7/8	8/339	0.0	2.0
Fake_sample_356	2/2	2/2	0.0	0.0
Fake_sample_357	5/6	5/6	0.0	0.0
Fake_sample_358	2/30	2/244	1.0	1.0
Fake_sample_359	8/8	8/10	0.12	2.0
Fake_sample_360	6/10	6/10	0.02	1.0
Fake_sample_361	2/5	2/5	0.0	0.0
Fake_sample_362	2/30	2/443	1.0	1.0
Fake_sample_363	5/30	5/251	1.0	2.0
Fake_sample_364	2/2	2/2	0.0	0.0
Fake_sample_365	2/2	2/2	0.0	0.0
Fake_sample_366	2/5	2/5	0.0	0.0
Fake_sample_367	5/10	5/10	0.0	1.0
Fake_sample_368	2/6	2/6	0.0	0.0
Fake_sample_369	4/8	4/8	0.0	1.0
Fake_sample_370	4/8	4/8	0.0	1.0
Fake_sample_371	6/8	6/8	0.02	1.0
Fake_sample_372	2/5	2/5	0.0	0.0
Fake_sample_373	2/2	2/2	0.0	0.0
Fake_sample_374	2/2	2/2	0.0	0.0
Fake_sample_375	5/30	5/143	1.0	1.0
Fake_sample_376	6/8	6/8	0.0	1.0
Fake_sample_377	2/30	2/304	1.0	1.0
Fake_sample_378	2/8	2/8	0.0	1.0
Fake_sample_379	2/2	2/2	0.0	0.0
Fake_sample_380	2/2	2/2	0.0	0.0
Fake_sample_381	2/13	2/364	0.0	1.0
Fake_sample_382	2/5	2/5	0.0	0.0
Fake_sample_383	2/11	2/218	0.34	1.0
Fake_sample_384	2/2	2/2	0.0	0.0
Fake_sample_385	2/2	2/2	0.0	0.0
Fake_sample_386	6/10	6/10	0.0	1.0
Fake_sample_387	2/6	2/4	0.0	0.0
Fake_sample_388	2/6	2/6	0.0	0.0
Fake_sample_389	2/8	2/8	0.0	1.0
Fake_sample_390	2/2	2/2	0.0	0.0
Fake_sample_391	2/12	2/10	0.03	1.0
Fake_sample_392	4/4	4/4	0.0	0.0
Fake_sample_393	4/5	4/5	0.0	0.0
Fake_sample_394	5/7	5/10	0.0	0.0
Fake_sample_395	2/11	2/12	0.2	1.0
Fake_sample_396	2/4	2/4	0.0	0.0
Fake_sample_397	2/5	2/5	0.0	0.0
Fake_sample_398	2/6	2/6	0.0	0.0
Fake_sample_399	2/5	2/5	0.0	0.0
Fake_sample_400	2/2	2/2	0.0	0.0
Fake_sample_401	2/2	2/2	0.0	0.0
Fake_sample_402	2/7	2/7	0.0	0.0
Fake_sample_403	2/30	2/316	0.87	1.0
Fake_sample_404	4/5	4/5	0.0	0.0
Fake_sample_405	2/6	2/6	0.0	0.0
Fake_sample_406	2/8	2/8	0.0	1.0
Fake_sample_407	2/10	2/11	0.05	1.0
Fake_sample_408	2/8	2/8	0.0	1.0
Fake_sample_409	6/8	6/8	0.0	1.0
Fake_sample_410	2/2	2/2	0.0	0.0
Fake_sample_411	2/8	2/8	0.0	1.0
Fake_sample_412	2/13	2/13	0.0	1.0
Fake_sample_413	2/5	2/5	0.0	0.0
Fake_sample_414	5/7	5/8	0.0	0.0
Fake_sample_415	2/5	2/5	0.0	0.0
Fake_sample_416	2/2	2/2	0.0	0.0
Fake_sample_417	2/8	2/57	0.0	1.0
Fake_sample_418	2/30	2/379	0.87	1.0
Fake_sample_419	10/30	11/13	1.24	2.0
Fake_sample_420	2/2	2/2	0.0	0.0
Fake_sample_421	8/30	8/552	0.87	2.0
Fake_sample_422	2/8	2/8	0.0	1.0
Fake_sample_423	6/30	6/383	1.0	1.0
Fake_sample_424	2/4	2/4	0.0	0.0
Fake_sample_425	2/10	2/10	0.0	1.0
Fake_sample_426	2/30	2/279	0.93	1.0
Fake_sample_427	2/2	2/2	0.0	0.0
Fake_sample_428	2/7	2/302	0.0	1.0
Fake_sample_429	8/30	8/594	0.47	2.0
Fake_sample_430	5/5	5/8	0.0	0.0
Fake_sample_431	2/2	2/2	0.0	0.0
Fake_sample_432	2/8	2/10	0.0	1.0
Fake_sample_433	2/5	2/5	0.0	0.0
Fake_sample_434	6/10	2/6	0.01	0.0
Fake_sample_435	2/11	2/365	0.15	1.0
Fake_sample_436	2/6	2/6	0.0	0.0
Fake_sample_437	8/30	8/337	1.0	2.0
Fake_sample_438	2/8	2/8	0.0	1.0
Fake_sample_439	2/5	2/5	0.0	0.0
Fake_sample_440	2/10	2/10	0.0	1.0
Fake_sample_441	2/8	2/8	0.0	1.0
Fake_sample_442	5/7	5/477	0.0	1.0
Fake_sample_443	5/5	5/5	0.0	0.0
Fake_sample_444	2/30	2/226	1.0	1.0
Fake_sample_445	2/30	2/349	1.0	1.0
Fake_sample_446	2/30	2/330	0.47	1.0
Fake_sample_447	2/6	2/6	0.0	1.0
Fake_sample_448	2/2	2/2	0.0	0.0
Fake_sample_449	2/2	2/2	0.0	0.0
Fake_sample_450	2/5	2/5	0.0	0.0
Fake_sample_451	4/5	4/5	0.0	0.0
Fake_sample_452	2/6	2/6	0.0	0.0
Fake_sample_453	2/8	2/8	0.0	1.0
Fake_sample_454	2/2	2/2	0.0	0.0
Fake_sample_455	2/9	2/11	0.0	1.0
Fake_sample_456	8/11	8/351	0.22	2.0
Fake_sample_457	2/11	2/11	0.08	1.0
Fake_sample_458	2/5	2/5	0.0	0.0
Fake_sample_459	2/5	2/5	0.0	0.0
Fake_sample_460	5/15	5/326	0.0	1.0
Fake_sample_461	2/8	2/8	0.0	1.0
Fake_sample_462	2/10	2/10	0.0	1.0
Fake_sample_463	2/8	2/8	0.0	1.0
Fake_sample_464	2/5	2/5	0.0	0.0
Fake_sample_465	2/2	2/2	0.0	0.0
Fake_sample_466	2/2	2/2	0.0	0.0
Fake_sample_467	2/2	2/2	0.0	0.0
Fake_sample_468	2/2	2/2	0.0	0.0
Fake_sample_469	2/2	2/2	0.0	0.0
Fake_sample_470	2/5	2/5	0.0	0.0
Fake_sample_471	2/5	2/5	0.0	0.0
Fake_sample_472	2/2	2/2	0.0	0.0
Fake_sample_473	5/11	5/10	0.1	1.0
Fake_sample_474	2/8	2/4	0.0	1.0
Fake_sample_475	5/6	5/6	0.0	0.0
Fake_sample_476	2/2	2/2	0.0	0.0
Fake_sample_477	4/5	4/5	0.0	0.0
Fake_sample_478	2/2	2/2	0.0	0.0
Fake_sample_479	2/2	2/2	0.0	0.0
Fake_sample_480	2/6	2/6	0.0	0.0
Fake_sample_481	2/2	2/2	0.0	0.0
Fake_sample_482	2/19	2/18	0.03	1.0
Fake_sample_483	5/5	5/5	0.0	0.0
Fake_sample_484	2/10	2/10	0.0	1.0
Fake_sample_485	2/14	2/10	0.22	1.0
Fake_sample_486	2/5	2/5	0.0	0.0
Fake_sample_487	10/10	10/13	0.08	2.0
Fake_sample_488	2/2	2/2	0.0	0.0
Fake_sample_489	2/2	2/2	0.0	0.0
Fake_sample_490	5/10	5/10	0.0	1.0
Fake_sample_491	5/8	5/8	0.0	1.0
Fake_sample_492	2/10	2/10	0.01	1.0
Fake_sample_493	2/6	2/6	0.0	0.0
Fake_sample_494	5/5	5/5	0.0	1.0
Fake_sample_495	2/4	2/4	0.0	1.0
Fake_sample_496	2/30	2/295	1.0	1.0
Fake_sample_497	5/8	5/8	0.0	2.0
Fake_sample_498	2/7	2/7	0.0	0.0
Fake_sample_499	2/10	2/10	0.11	1.0
Fake_sample_500	2/2	2/2	0.0	0.0
Fake_sample_501	2/8	2/8	0.0	1.0
Fake_sample_502	2/12	2/12	0.0	1.0
Fake_sample_503	5/11	5/11	0.03	1.0
Fake_sample_504	5/5	5/5	0.0	0.0
Fake_sample_505	2/2	2/2	0.0	0.0
Fake_sample_506	2/5	2/5	0.0	0.0
Fake_sample_507	2/8	2/8	0.0	1.0
Fake_sample_508	2/5	2/5	0.0	0.0
Fake_sample_509	5/8	5/8	0.0	1.0
Fake_sample_510	2/5	2/5	0.0	0.0
Fake_sample_511	2/6	2/6	0.0	0.0
Fake_sample_512	2/8	2/8	0.0	1.0
Fake_sample_513	2/6	2/6	0.0	0.0
Fake_sample_514	2/2	2/2	0.0	0.0
Fake_sample_515	2/8	2/10	0.0	1.0
Fake_sample_516	2/5	2/5	0.0	0.0
Fake_sample_517	2/2	2/2	0.0	0.0
Fake_sample_518	2/2	2/2	0.0	0.0
Fake_sample_519	6/8	6/11	0.0	1.0
Fake_sample_520	2/8	2/8	0.0	1.0
Fake_sample_521	5/6	5/6	0.0	1.0
Fake_sample_522	2/5	2/5	0.0	0.0
Fake_sample_523	2/2	2/2	0.0	0.0
Fake_sample_524	2/2	2/2	0.0	0.0
Fake_sample_525	2/6	2/6	0.0	0.0
Fake_sample_526	2/12	2/10	0.0	1.0
Fake_sample_527	5/11	5/16	0.08	1.0
Fake_sample_528	8/30	8/12	1.0	1.0
Fake_sample_529	2/2	2/2	0.0	0.0
Fake_sample_530	2/2	2/2	0.0	0.0
Fake_sample_531	2/4	2/4	0.0	0.0
Fake_sample_532	2/5	2/5	0.0	0.0
Fake_sample_533	5/6	5/6	0.0	0.0
Fake_sample_534	2/2	2/6	0.0	0.0
Fake_sample_535	2/5	2/5	0.0	0.0
Fake_sample_536	2/6	2/6	0.0	0.0
Fake_sample_537	2/2	2/2	0.0	0.0
Fake_sample_538	5/8	5/8	0.0	1.0
Fake_sample_539	2/2	2/2	0.0	0.0
Fake_sample_540	6/8	6/8	0.0	1.0
Fake_sample_541	5/11	5/11	0.0	1.0
Fake_sample_542	2/8	2/10	0.0	0.0
Fake_sample_543	5/10	5/10	0.0	1.0
Fake_sample_544	2/8	2/8	0.0	1.0
Fake_sample_545	4/30	4/19	1.0	1.0
Fake_sample_546	2/8	2/8	0.0	1.0
Fake_sample_547	2/8	2/8	0.0	1.0
Fake_sample_548	2/8	2/8	0.0	1.0
Fake_sample_549	4/5	4/5	0.0	1.0
Fake_sample_550	2/4	2/4	0.0	0.0
Fake_sample_551	2/4	2/4	0.0	0.0
Fake_sample_552	2/4	2/4	0.0	0.0
Fake_sample_553	2/2	2/2	0.0	0.0
Fake_sample_554	2/2	2/2	0.0	0.0
Fake_sample_555	8/10	8/8	0.04	2.0
Fake_sample_556	2/2	2/2	0.0	0.0
Fake_sample_557	2/2	2/2	0.0	0.0
